Detections,X,Y,Energy Per Nucleon,Z,Height,True X,True Y,True Energy per nucleon,True Z,True Height,Phi,Epsilon,Theta,Guess Log Likelihood,Classifier,BDT
4,-14.087005149858385,-9.999020988779932,385.39363325916514,26.0,22308.03774271774,-13.094444753563266,-10.76934047063699,431.2249246644723,26,22761.578602778543,1.7435986691611873,0.01716659212933669,24.478996577629914,24.12537059813485,0.0,0.79188914149672684
4,-22.06238650549369,4.409060746583805,321.8810677135673,26.0,19837.024636139555,-21.540004468519214,3.619927731592952,322.7426973626923,26,18464.4002402514,1.5446297051935558,1.6661604112356736,21.954484693433187,22.48991013309751,0.0,0.76706170601107893
4,-17.702559758923485,25.303158263821103,255.26702884071423,26.0,20275.19579571201,-17.764463151996893,25.646466668089715,252.52204276964665,26,20393.426480033395,1.9074926792936024,0.7296817734205132,20.13775107540208,20.134735874805514,0.0,0.82071187448948812
4,-6.33393239866524,28.017019671755406,1000.438337504877,26.0,25014.43458429058,-5.027188410559461,26.258612197798158,1005.9644797735982,26,25636.051720823656,1.2611128269705334,3.5298865999612836,22.26213545799078,22.75899225408125,0.0,0.69777397735173019
4,36.77948115489198,32.00009391990341,359.3209030847763,27.0,23021.358865534054,38.5924970227648,33.4031010389418,376.86527533981354,26,23159.608264590035,1.2081500619762984,0.2349462821171484,20.437634009610974,20.530402405821633,1.0,0.75746083241342732
4,18.032790382388725,-6.2810212254498765,329.2327716037036,26.0,21243.77973079203,19.91502473103054,-5.524699212073955,373.51194412241585,26,21967.578397476318,1.844321581077507,4.384411696649062,23.299510220075035,24.20476865537762,0.0,0.8086614169562294
4,38.0,-24.99530983790561,568.6286032552432,26.0,22394.487271142338,38.212233865431216,-25.581298737268213,531.4159520892916,26,22654.766093391743,1.2112033613908735,0.6102802376119755,22.820800695524582,24.067692817295722,0.0,0.8086614169562294
4,27.43345863560188,-29.905608436229045,557.8002904096813,26.0,20379.242783117606,27.28630394626606,-31.282356270025886,501.73715380844385,26,21436.89532749146,1.9333058987380578,4.382030093096242,20.553771269332742,22.14683287661552,0.0,0.8086614169562294
4,10.181014620363271,-4.612455738114363,504.26311903165055,26.0,17545.45669955395,11.215719538991607,-4.709633854870731,527.6039293848967,26,24279.093192061217,1.8773502988425963,0.20106332060620724,22.144358503906915,24.14011120172836,0.0,0.63280860791331206
4,-5.567886071001283,-5.792390381325561,470.0143555971619,26.0,23804.562511309443,-6.508280692663021,-4.631611343556386,438.68299824179894,26,23779.083995513036,1.5770119642242302,3.5506261028047517,23.664460142419557,24.45685709039026,0.0,0.81709815198022029
4,14.891701130541207,18.146116522231523,544.427568379924,26.0,22816.653845900677,13.594015870547793,18.56116822788522,509.51582452140815,26,22363.702268177647,1.6923530466365893,1.9005343128341559,26.940565419740096,23.32515079705422,0.0,0.61523385408368891
4,-1.9633615376899343,14.628282436986979,1907.4491599690439,26.0,17765.768429204687,-0.3596388845900833,14.197983694289007,1887.9489214914129,26,25900.307153067188,1.9427371206166764,2.800588995245203,23.792165433450464,27.178632845753782,0.0,0.82071187448948812
